ID,PROBLEM,URL,LEVEL,TAG,B75,B50,NC.io,G75,LC,SP,NOTES
214,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,Tree,,,,X,,X,BFS
215,Validate BST,https://leetcode.com/problems/validate-binary-search-tree/,Medium,Tree,X,X,X,X,X,X,"create valid helper which is a dfs and keep track of minimum bounds and maximum bounds, update maximum if you go left and update minimum if you go right"
216,Same Tree,https://leetcode.com/problems/same-tree/,Easy,Tree,X,X,X,X,,X,"if both null, true, if one null and not other, return false, if values are not equal then return false, then recursive calls on left and right"
217,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,Easy,Tree,X,X,X,X,,X,"use sameTree function and recurse on left and right, set boolean statement to be or of two results"
218,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,Tree,,,,X,,,
219,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Easy,Tree,X,X,X,X,,X,"it's a binary search tree, either recurse on left child of root or right child of root depending on whether root.val is greater than or less than both p.val and q.val"
220,LCA of Binary Tree ,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,Tree,,,,X,X,,
221,LCA of Binary Tree 3,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,Medium,Tree,,,,,X,,
222,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,Tree,X,X,X,X,,,DFS
223,Convert Sorted Array to BST,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,Tree,,,,X,X,,DFS
224,"Construct Binary Tree from 
Preorder/Inorder Traversal",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,Tree,X,X,X,X,,X,"DFS, Hashtable"
225,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,Tree,X,X,X,X,X,X,DFS
226,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,Tree,X,X,X,X,,X,
227,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,Tree,X,X,X,X,X,X,"Design, Trie"
228,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,Tree,X,X,X,X,,,"Design, Trie"
229,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,Easy,Tree,,,,,X,,DFS
230,Inorder Successor in BST,https://leetcode.com/problems/inorder-successor-in-bst/,Medium,Tree,,,,,,,
231,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,Tree,,,,,X,X,BFS
232,Populating Next Right Pointers 2,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,Medium,Tree,,,,,,X,BFS
233,Path Sum,https://leetcode.com/problems/path-sum/,Easy,Tree,,,,,,X,DFS
234,Path Sum 2,https://leetcode.com/problems/path-sum-ii/,Medium,Tree,,,,X,,X,DFS
235,Path Sum 3,https://leetcode.com/problems/path-sum-iii/,Medium,Tree,,,,X,,X,
236,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,Tree,,,X,X,,X,"use dfs to keep track of BOTH HEIGHT AND DIAMETER! diameter = left height + right height, height = 1 + max(left, right)"
237,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree/,Medium,Tree,,,,X,,X,DFS
238,Merge Two Binary Trees,https://leetcode.com/problems/merge-two-binary-trees/,Easy,Tree,,,,,,X,DFS
239,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,Tree,,,X,X,,X,"BFS, but instead of doing len(q) keep track of length of queue once at the beginning of each level so that q.appends dont make the len count weird, then just check if i == length - 1"
240,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,Medium,Tree,,,,X,,X,
241,Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/,Easy,Tree,,,,,,X,BFS
242,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree/,Medium,Tree,,,,,,X,
243,Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Medium,Tree,,,X,,,,"dfs but keep track of max value seen so far, if current node val is >= max val then add 1 to res, dfs on both left and right, and then finally call dfs(root, root.val)"
244,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,Tree,,,X,X,,,do a dfs that returns both true/false and height of node in the tree
245,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,Medium,Tree,,,,,,,
246,House Robber 3,https://leetcode.com/problems/house-robber-iii/,Medium,Tree,,,,,,,
247,Flip Equivalent Binary Trees,https://leetcode.com/problems/flip-equivalent-binary-trees/,Medium,Tree,,,,,,,
248,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,Tree,,,,,,,"DFS, Stack"
249,Find Bottom Left Tree Value,https://leetcode.com/problems/find-bottom-left-tree-value/,Medium,Tree,,,,,,,
250,Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree/,Medium,Tree,,,,,,,
,,,,,,,,,,,
252,Graph Algorithms,,,,,,,,,,"Most Common
DFS - pre/post/inorder traversal (V + E)
BFS - shortest path, unweighted graph (V + E)
Topological Sort - find ordering of nodes, verifies if graph is DAG (V + E)
Less Common
Union Find - find/count disjoint sets, adding path compression is one line but improves runtime massively
Dijkstra - shortest path, works for weighted, no negative weights allowed (E log V)
Longest Path - brute force exhaustive DFS will work everytime; but if acyclic, there is also a solution involving topo sort/DP
Cycle Detection - for directed graph, use topo sort; for undirected, can use DFS or union find
Rare
Bellman Ford - shortest path, weighted and negative weights allowed (E * V)
Minimum Spanning Tree - use Prim's or Kruskal's algorithms"
253,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,Graph,X,X,X,X,,X,"dfs, use a dictionary to map original node to copies, acts as a visited set as well!"
254,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,Graph,X,X,X,X,,X,"dfs from pacific cells, dfs from atlantic cells, have two separate visited sets for both, and take the set intersection"
255,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,Graph,X,X,X,X,X,X,standard dfs/bfs
256,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Medium,Graph,,,X,,,,"dfs, return 0 if out of bounds and return 1 + dfs in all directions"
257,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,Graph,X,X,X,X,,X,"union find, make sure that everything is one component and no cycles, similar to redundant connection"
258,Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Medium,Graph,X,X,X,X,,X,
259,Word Search,https://leetcode.com/problems/word-search/,Medium,Graph,X,,X,X,,X,
260,Word Search 2,https://leetcode.com/problems/word-search-ii/,Hard,Graph,X,X,X,X,X,X,Trie
261,Word Squares,https://leetcode.com/problems/word-squares/,Hard,Graph,,,,,,X,
262,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,Graph,X,X,X,X,X,X,"Topo Sort
create adj list that has an edge from postreqs to prereqs
then create dfs helper function with a cycle set AND visited set initialized before it
if i in cycle, return false
if i in visited, return true
add i to visited and cycle, then loop through its neighbors to check if any dfs on them return false and if so, return false
remove i from cycle, return true"
263,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,Graph,,,X,X,,X,"Topo Sort, same thing as above
only append to results array after looping through all neighbors and before returning true"
264,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,Hard,Graph,X,X,X,X,X,X,Topo Sort
265,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,Hard,Graph,,,,X,X,,Topo Sort
266,Flood Fill,https://leetcode.com/problems/flood-fill/,Easy,Graph,,,,X,,,
267,Shortest Path to Get Food,https://leetcode.com/problems/shortest-path-to-get-food/,Medium,Graph,,,,X,,,
268,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/,Medium,Graph,,,,X,,X,
269,Sequence Reconstruction,https://leetcode.com/problems/sequence-reconstruction/,Medium,Graph,,,,,,X,
270,"Sort Items by Groups Respecting 
Dependencies",https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/,Hard,Graph,,,,,,X,
271,Find the Celebrity,https://leetcode.com/problems/find-the-celebrity/,Medium,Graph,,,,,X,,
272,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,Graph,,,X,X,X,,
273,Word Ladder 2,https://leetcode.com/problems/word-ladder-ii/,Hard,Graph,,,,,,,
274,Island Perimeter,https://leetcode.com/problems/island-perimeter/,Easy,Graph,,,,,,,
275,Accounts Merge,https://leetcode.com/problems/accounts-merge/,Medium,Graph,,,,X,,,
276,Minimum Knights Move,https://leetcode.com/problems/minimum-knight-moves/,Medium,Graph,,,,X,,,
277,Redundant Connection,https://leetcode.com/problems/redundant-connection/,Medium,Graph,,,X,,,,
278,Count Sub Islands,https://leetcode.com/problems/count-sub-islands/,Medium,Graph,,,,,,,
279,Walls and Gates,https://leetcode.com/problems/walls-and-gates/,Medium,Graph,,,X,,,,
280,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,Graph,,,X,,,,"dfs from every border cell that's an 'O', flip everything that isn't in visited"
281,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/,Hard,Graph,,,X,,,,
282,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,Graph,,,X,X,,,"bfs from multiple sources, keep track of number of fresh oranges"
283,Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders/,Medium,Graph,,,,,,,
284,Open the Lock,https://leetcode.com/problems/open-the-lock/,Medium,Graph,,,,,,,
285,Bus Routes,https://leetcode.com/problems/bus-routes/,Hard,Graph,,,,X,,,
286,Reorder Routes to Make All Paths Lead to the City Zero,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/,Medium,Graph,,,,,,,
287,Network Delay Time,https://leetcode.com/problems/network-delay-time/,Medium,Graph,,,X,,,,"Dijkstra

build adjacency list, store both weight and node as elems of list
treat dijkstra like bfs but instead of popping and appending to queue, do to minH with cost + neighborCost when pushing neighbors
AND keep track of max weight we've seen"
288,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,Hard,Graph,,,X,,,,Dijkstra
289,Cheapest Flights within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium,Graph,,,X,X,,,Bellman Ford
290,Min Cost to Connect all Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,Medium,Graph,,,X,,,,"prims algo to find MST

build adjacency list in which all points are connected to each other, and STORE THE WEIGHTS of each edge along w node in tuple
use a minHeap initialized with [0, 0] and visited set, then enter a while loop
while len(visited set) < len(points) (input given) <- important condition to remember
extract the top of heap, check if it's already been visited
if not, add the cost to result and add it to visited
THEN traverse all of its neighbors, check if the neighbors havent been visited yet, if they havent, then add the edge [dist, point] into the heap 
"
,,,,,,,,,,,
292,LC Explore Backtracking Template,https://leetcode.com/explore/learn/card/recursion-ii/472/backtracking/2793/,,,,,,,,,
293,Subsets,https://leetcode.com/problems/subsets/,Medium,Backtrack,,,X,X,X,X,Powerset - either include or don't. append a copy of subset (so it doesn't get modified)
294,Subsets 2,https://leetcode.com/problems/subsets-ii/,Medium,Backtrack,,,X,,,X,"SORT INPUT ARRAY FIRST!!!!! that way, we can go through the decision tree and skip over any adjacent duplicate values in our input"
295,Combinations,https://leetcode.com/problems/combinations/,Medium,Backtrack,,,,,X,X,
296,Permutations,https://leetcode.com/problems/permutations/,Medium,Backtrack,,,X,X,X,X,
297,Permutations 2,https://leetcode.com/problems/permutations-ii/,Medium,Backtrack,,,,,,X,
298,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,Backtrack,,,X,X,X,X,"use stack, backtrack with open and close count with following conditions:
- if open == close and both equal to n, just res.append("""".join(stack)) (basically forms string out of current stack)
- if open < n then stack.append(""("") and backtrack with increased open count and REMEMBER TO POP AFTER
- if close < open then stack.append("")"") and backtrack with increased close count and REMEMBER TO POP AFTER"
299,Letter Combinations of Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,Backtrack,,,X,X,X,X,
300,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses/,Hard,Backtrack,,,,,X,,
301,N-Queens,https://leetcode.com/problems/n-queens/,Hard,Backtrack,,,X,X,,X,
302,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,Backtrack,,,,X,,X,
303,Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation/,Medium,Backtrack,,,,,,X,
304,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,Backtrack,,,X,X,,X,
305,Combination Sum 2,https://leetcode.com/problems/combination-sum-ii/,Medium,Backtrack,,,X,,,X,
306,Combination Sum 3,https://leetcode.com/problems/combination-sum-iii/,Medium,Backtrack,,,,,,X,
307,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,Backtrack,,,X,,,X,
308,Generalized Abbreviation,https://leetcode.com/problems/generalized-abbreviation/,Medium,Backtrack,,,,,,X,
309,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,Medium,Backtrack,,,,,,X,"DP, memo"
310,"Splitting a String into Descending 
Consecutive Values",https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values/,Medium,Backtrack,,,,,,,
311,Find Unique Binary String,https://leetcode.com/problems/find-unique-binary-string/,Medium,Backtrack,,,,,,,
312,"Maximum Length of a Concatenated 
String with Unique Characters",https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/,Medium,Backtrack,,,,,,,
313,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,Backtrack,,,,,,,
314,Matchsticks to Squares,https://leetcode.com/problems/matchsticks-to-square/,Medium,Backtrack,,,,,,,
,,,,,,,,,,,
316,DP Thread on Leetcode,https://leetcode.com/discuss/general-discussion/458695/dynamic-programming-patterns,,,,,,,,,
317,Coin Change,https://leetcode.com/problems/coin-change/,Medium,DP,X,X,X,X,X,X,Unbounded Knapsack
318,Coin Change 2,https://leetcode.com/problems/coin-change-2/,Medium,DP,,,X,,,,"Unbounded Knapsack
(for each coin; for i in range)
(count combinations)"
319,Combination Sum 4,https://leetcode.com/problems/combination-sum-iv/,Medium,DP,X,X,,X,,X,"Unbounded Knapsack
(for i in range; for each num)
(count permutations)"
320,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,DP,,,X,X,,X,"0/1 Knapsack  (like Coin Change 2, 
but reverse 2nd for loop)"
321,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,DP,,,,,,,Min/Max Path to Target
322,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,Easy,DP,,,X,,,,Min/Max Path to Target
323,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,DP,X,X,X,X,X,X,Fibonacci/Distinct Ways
324,House Robber,https://leetcode.com/problems/house-robber/,Medium,DP,X,X,X,X,,X,Fibonacci/Distinct Ways
325,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,DP,X,X,X,,,X,Fibonacci/Distinct Ways
326,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,DP,X,X,X,X,,X,Fibonacci/Distinct Ways
327,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,DP,X,,X,X,X,X,Fibonacci/Distinct Ways
328,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,DP,,,,,,,Fibonacci/Distinct Ways
329,Target Sum,https://leetcode.com/problems/target-sum/,Medium,DP,,,X,,,X,Fibonacci/Distinct Ways; DFS
330,Number of Dice Rolls w/Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,Medium,DP,,,,,,,Fibonacci/Distinct Ways
331,Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/,Medium,DP,,,,,,,Longest Common Substring
332,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,DP,X,,X,,,,String
333,Edit Distance,https://leetcode.com/problems/edit-distance/,Hard,DP,,,X,,,,"String; extension of  Longest 
Common Subsequence problem"
334,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,Medium,DP,,,,,,X,"String; find Long. Comm. Subseq.
of original string and its reverse"
335,Valid Palindrome 3,https://leetcode.com/problems/valid-palindrome-iii/solution/,Hard,DP,,,,,,,"String; find Long. Palind. Subseq.
and it's now Edit Distance problem"
336,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,DP,X,X,X,X,X,X,"String; alternate solution is a trick 
involving binary search (yields the
length but not actual sequence)"
337,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,Medium,DP,,,,,,X,
338,Longest Increasing Path in Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,Hard,DP,,,X,,,,
339,Jump Game,https://leetcode.com/problems/jump-game/,Medium,DP,X,X,X,X,,X,"start from the end and iterate backwards, initially set goal to the last element, update ""goal"" post if we know we can reach the last elem from there
keep pushing goal post back if i + nums[i] >= goal, then just return whether goal == 0"
340,Jump Game 2,https://leetcode.com/problems/jump-game-ii/,Medium,DP,,,X,,,,"Greedy
start from the beginning and initialize left and right pointers to 0
while r < len(nums) - 1
check what the farthest value is by iterating through a for loop from l to r + 1 (exclusive)
then after finding the max value, just set l = r + 1 and r = farthest"
341,Word Break,https://leetcode.com/problems/word-break/,Medium,DP,X,X,X,X,X,X,Tabulation 
342,Word Break 2,https://leetcode.com/problems/word-break-ii/,Hard,DP,,,,,,,Backtrack
343,Concatenated Words,https://leetcode.com/problems/concatenated-words/,Hard,DP,,,,,,X,Trie
344,Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,DP,,,X,,,,
345,Paint House,https://leetcode.com/problems/paint-house/,Medium,DP,,,,,,,
346,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,DP,,,,X,,,
347,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,DP,,,X,,,,
348,Burst Balloons,https://leetcode.com/problems/burst-balloons/,Hard,DP,,,X,,X,,
349,Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,DP,,,,,,,
350,Minimum Cost Tree from Leaf Values,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values/,Medium,DP,,,,,,,Merging Intervals
351,Unique BST's,https://leetcode.com/problems/unique-binary-search-trees/,Medium,DP,,,,,,,Merging Intervals
352,Triangle,https://leetcode.com/problems/triangle/,Medium,DP,,,,,,,Tree
353,All Possible Full Binary Trees,https://leetcode.com/problems/all-possible-full-binary-trees/,Medium,DP,,,,,,,Tree
354,Minimum Cost for Tickets,https://leetcode.com/problems/minimum-cost-for-tickets/,Medium,DP,,,,,,,
355,"Number of Ways to Rearrange Sticks 
with K Sticks Visible",https://leetcode.com/problems/number-of-ways-to-rearrange-sticks-with-k-sticks-visible/,Hard,DP,,,,,,,
356,Stickers to Spell Word,https://leetcode.com/problems/stickers-to-spell-word/,Hard,DP,,,,,,,
357,Minimum Number of Days to Eat N Oranges,https://leetcode.com/problems/minimum-number-of-days-to-eat-n-oranges/,Hard,DP,,,,,,,
358,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,DP,,,,,,,
359,Stone Game,https://leetcode.com/problems/stone-game/,Medium,DP,,,,,,,
360,Integer Break,https://leetcode.com/problems/integer-break/,Medium,DP,,,,,,,
361,Delete and Earn,https://leetcode.com/problems/delete-and-earn/,Medium,DP,,,,,,,
,,,,,,,,,,,
363,Happy Number,https://leetcode.com/problems/happy-number/,Easy,Math,,,X,,,,
364,Plus One,https://leetcode.com/problems/plus-one/,Easy,Math,,,X,,,,
365,Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,Math,,,X,,,,
366,Detect Squares,https://leetcode.com/problems/detect-squares/,Medium,Math,,,X,,,,
367,Count Primes,https://leetcode.com/problems/count-primes/,Medium,Math,,,,,X,,
368,Power of Three,https://leetcode.com/problems/power-of-three/,Easy,Math,,,,,X,,
369,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,Easy,Math,,,,,X,,
370,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,Math,,,X,X,X,,
371,Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,Math,,,X,X,X,X,"do the greedy approach where you use both a maxHeap and a queue.

basically in maxHeap keep track of all negative count values, in queue append both the updated count AND the time it can get processed
while maxHeap or q:
increment time by 1
if maxHeap, then pop from maxHeap, add 1 to the count popped, check if it's not 0, then push to queue with time it takes to get processed
if q and q[0][1] == current time, push the count value from the popped queue value back to the heap

after while loop, just return time"
372,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,Math,,,,,X,,
373,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,Hard,Math,,,,,,,
,,,,,,,,,,,
375,Add Binary,https://leetcode.com/problems/add-binary/,Easy,Binary,,,,X,,,String
376,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,Easy,Binary,,,X,X,X,,
377,Counting Bits,https://leetcode.com/problems/counting-bits/,Easy,Binary,,,X,X,,X,
378,Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy,Binary,,,X,X,,,
379,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,Binary,,,X,X,,,
380,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,Medium,Binary,,,X,,,,
381,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,Medium,Binary,,,,,,,
382,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,Medium,Binary,,,,,,X,
